professional_id,cluster,cluster_name
11293,2,Cluster 2 — Low/Inactive Providers
11294,1,Cluster 1 — Steady Providers
11298,1,Cluster 1 — Steady Providers
11299,1,Cluster 1 — Steady Providers
11302,1,Cluster 1 — Steady Providers
11304,2,Cluster 2 — Low/Inactive Providers
11306,1,Cluster 1 — Steady Providers
11307,1,Cluster 1 — Steady Providers
11309,1,Cluster 1 — Steady Providers
11312,1,Cluster 1 — Steady Providers
11313,0,Cluster 0 — High Performers
11314,1,Cluster 1 — Steady Providers
11315,2,Cluster 2 — Low/Inactive Providers
11317,1,Cluster 1 — Steady Providers
11322,1,Cluster 1 — Steady Providers
11325,1,Cluster 1 — Steady Providers
11327,2,Cluster 2 — Low/Inactive Providers
11329,1,Cluster 1 — Steady Providers
11330,1,Cluster 1 — Steady Providers
11331,1,Cluster 1 — Steady Providers
11332,1,Cluster 1 — Steady Providers
11333,1,Cluster 1 — Steady Providers
11335,2,Cluster 2 — Low/Inactive Providers
11336,1,Cluster 1 — Steady Providers
11337,1,Cluster 1 — Steady Providers
11339,1,Cluster 1 — Steady Providers
11340,1,Cluster 1 — Steady Providers
11341,1,Cluster 1 — Steady Providers
11343,1,Cluster 1 — Steady Providers
11345,1,Cluster 1 — Steady Providers
11346,2,Cluster 2 — Low/Inactive Providers
11348,1,Cluster 1 — Steady Providers
11351,1,Cluster 1 — Steady Providers
11353,1,Cluster 1 — Steady Providers
11354,1,Cluster 1 — Steady Providers
11355,1,Cluster 1 — Steady Providers
11357,1,Cluster 1 — Steady Providers
11362,1,Cluster 1 — Steady Providers
11363,1,Cluster 1 — Steady Providers
11365,2,Cluster 2 — Low/Inactive Providers
11367,1,Cluster 1 — Steady Providers
11368,1,Cluster 1 — Steady Providers
11370,1,Cluster 1 — Steady Providers
11371,1,Cluster 1 — Steady Providers
11372,1,Cluster 1 — Steady Providers
11373,1,Cluster 1 — Steady Providers
11377,1,Cluster 1 — Steady Providers
11379,1,Cluster 1 — Steady Providers
11380,1,Cluster 1 — Steady Providers
11381,1,Cluster 1 — Steady Providers
11383,1,Cluster 1 — Steady Providers
11387,1,Cluster 1 — Steady Providers
11388,1,Cluster 1 — Steady Providers
11389,2,Cluster 2 — Low/Inactive Providers
11390,1,Cluster 1 — Steady Providers
11392,2,Cluster 2 — Low/Inactive Providers
11393,1,Cluster 1 — Steady Providers
11395,1,Cluster 1 — Steady Providers
11397,2,Cluster 2 — Low/Inactive Providers
11398,2,Cluster 2 — Low/Inactive Providers
11399,1,Cluster 1 — Steady Providers
11400,1,Cluster 1 — Steady Providers
11401,1,Cluster 1 — Steady Providers
11403,1,Cluster 1 — Steady Providers
11404,1,Cluster 1 — Steady Providers
11406,1,Cluster 1 — Steady Providers
11408,1,Cluster 1 — Steady Providers
11411,1,Cluster 1 — Steady Providers
11412,1,Cluster 1 — Steady Providers
11414,1,Cluster 1 — Steady Providers
11415,1,Cluster 1 — Steady Providers
11417,1,Cluster 1 — Steady Providers
11418,1,Cluster 1 — Steady Providers
11421,1,Cluster 1 — Steady Providers
11422,2,Cluster 2 — Low/Inactive Providers
11423,2,Cluster 2 — Low/Inactive Providers
11424,1,Cluster 1 — Steady Providers
11425,1,Cluster 1 — Steady Providers
11426,0,Cluster 0 — High Performers
11427,1,Cluster 1 — Steady Providers
11428,2,Cluster 2 — Low/Inactive Providers
11429,1,Cluster 1 — Steady Providers
11432,1,Cluster 1 — Steady Providers
11435,2,Cluster 2 — Low/Inactive Providers
11436,1,Cluster 1 — Steady Providers
11437,1,Cluster 1 — Steady Providers
11439,1,Cluster 1 — Steady Providers
11440,1,Cluster 1 — Steady Providers
11442,1,Cluster 1 — Steady Providers
11444,1,Cluster 1 — Steady Providers
11445,1,Cluster 1 — Steady Providers
11446,1,Cluster 1 — Steady Providers
11447,1,Cluster 1 — Steady Providers
11449,1,Cluster 1 — Steady Providers
11452,1,Cluster 1 — Steady Providers
11454,1,Cluster 1 — Steady Providers
11456,1,Cluster 1 — Steady Providers
11457,1,Cluster 1 — Steady Providers
11458,1,Cluster 1 — Steady Providers
11460,1,Cluster 1 — Steady Providers
11461,1,Cluster 1 — Steady Providers
11462,1,Cluster 1 — Steady Providers
11465,1,Cluster 1 — Steady Providers
11466,1,Cluster 1 — Steady Providers
11467,2,Cluster 2 — Low/Inactive Providers
11468,1,Cluster 1 — Steady Providers
11470,1,Cluster 1 — Steady Providers
11471,1,Cluster 1 — Steady Providers
11472,1,Cluster 1 — Steady Providers
11475,1,Cluster 1 — Steady Providers
11477,1,Cluster 1 — Steady Providers
11478,1,Cluster 1 — Steady Providers
11480,2,Cluster 2 — Low/Inactive Providers
11483,1,Cluster 1 — Steady Providers
11489,1,Cluster 1 — Steady Providers
11490,2,Cluster 2 — Low/Inactive Providers
11491,1,Cluster 1 — Steady Providers
11493,1,Cluster 1 — Steady Providers
11494,1,Cluster 1 — Steady Providers
11500,1,Cluster 1 — Steady Providers
11503,1,Cluster 1 — Steady Providers
11507,1,Cluster 1 — Steady Providers
11509,2,Cluster 2 — Low/Inactive Providers
11510,0,Cluster 0 — High Performers
11511,1,Cluster 1 — Steady Providers
11512,1,Cluster 1 — Steady Providers
11513,1,Cluster 1 — Steady Providers
11515,1,Cluster 1 — Steady Providers
11516,1,Cluster 1 — Steady Providers
11517,1,Cluster 1 — Steady Providers
11518,2,Cluster 2 — Low/Inactive Providers
11519,1,Cluster 1 — Steady Providers
11521,1,Cluster 1 — Steady Providers
11523,1,Cluster 1 — Steady Providers
11529,1,Cluster 1 — Steady Providers
11531,1,Cluster 1 — Steady Providers
11532,1,Cluster 1 — Steady Providers
11534,1,Cluster 1 — Steady Providers
11538,0,Cluster 0 — High Performers
11539,1,Cluster 1 — Steady Providers
11541,1,Cluster 1 — Steady Providers
11542,1,Cluster 1 — Steady Providers
11544,1,Cluster 1 — Steady Providers
11545,1,Cluster 1 — Steady Providers
11546,1,Cluster 1 — Steady Providers
11547,1,Cluster 1 — Steady Providers
11549,1,Cluster 1 — Steady Providers
11550,1,Cluster 1 — Steady Providers
11551,1,Cluster 1 — Steady Providers
11552,1,Cluster 1 — Steady Providers
11556,2,Cluster 2 — Low/Inactive Providers
11557,1,Cluster 1 — Steady Providers
11558,1,Cluster 1 — Steady Providers
11559,2,Cluster 2 — Low/Inactive Providers
11561,2,Cluster 2 — Low/Inactive Providers
11563,1,Cluster 1 — Steady Providers
11564,1,Cluster 1 — Steady Providers
11565,1,Cluster 1 — Steady Providers
11566,2,Cluster 2 — Low/Inactive Providers
11568,1,Cluster 1 — Steady Providers
11569,1,Cluster 1 — Steady Providers
11570,1,Cluster 1 — Steady Providers
11572,1,Cluster 1 — Steady Providers
11574,1,Cluster 1 — Steady Providers
11577,1,Cluster 1 — Steady Providers
11580,1,Cluster 1 — Steady Providers
11583,1,Cluster 1 — Steady Providers
11584,1,Cluster 1 — Steady Providers
11585,1,Cluster 1 — Steady Providers
11586,1,Cluster 1 — Steady Providers
11589,1,Cluster 1 — Steady Providers
11590,1,Cluster 1 — Steady Providers
11591,1,Cluster 1 — Steady Providers
11592,1,Cluster 1 — Steady Providers
11593,2,Cluster 2 — Low/Inactive Providers
11594,1,Cluster 1 — Steady Providers
11595,1,Cluster 1 — Steady Providers
11599,1,Cluster 1 — Steady Providers
11600,1,Cluster 1 — Steady Providers
11601,1,Cluster 1 — Steady Providers
11602,1,Cluster 1 — Steady Providers
11605,1,Cluster 1 — Steady Providers
11606,1,Cluster 1 — Steady Providers
11608,1,Cluster 1 — Steady Providers
11609,1,Cluster 1 — Steady Providers
11611,1,Cluster 1 — Steady Providers
11613,0,Cluster 0 — High Performers
11614,1,Cluster 1 — Steady Providers
11615,1,Cluster 1 — Steady Providers
11616,1,Cluster 1 — Steady Providers
11617,1,Cluster 1 — Steady Providers
11618,2,Cluster 2 — Low/Inactive Providers
11619,1,Cluster 1 — Steady Providers
11621,1,Cluster 1 — Steady Providers
11625,1,Cluster 1 — Steady Providers
11626,2,Cluster 2 — Low/Inactive Providers
11627,1,Cluster 1 — Steady Providers
11628,1,Cluster 1 — Steady Providers
11629,1,Cluster 1 — Steady Providers
11630,1,Cluster 1 — Steady Providers
11637,1,Cluster 1 — Steady Providers
11638,1,Cluster 1 — Steady Providers
11639,1,Cluster 1 — Steady Providers
11643,1,Cluster 1 — Steady Providers
11646,1,Cluster 1 — Steady Providers
11647,1,Cluster 1 — Steady Providers
11648,1,Cluster 1 — Steady Providers
11649,1,Cluster 1 — Steady Providers
11652,1,Cluster 1 — Steady Providers
11653,1,Cluster 1 — Steady Providers
11654,1,Cluster 1 — Steady Providers
11656,1,Cluster 1 — Steady Providers
11659,1,Cluster 1 — Steady Providers
11660,1,Cluster 1 — Steady Providers
11661,1,Cluster 1 — Steady Providers
11662,1,Cluster 1 — Steady Providers
11663,1,Cluster 1 — Steady Providers
11664,2,Cluster 2 — Low/Inactive Providers
11668,1,Cluster 1 — Steady Providers
11670,1,Cluster 1 — Steady Providers
11671,1,Cluster 1 — Steady Providers
11673,1,Cluster 1 — Steady Providers
